canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,type,units,value
O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,CHEMBL215397,IC50,nM,25000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,25.0
CCOC(=O)C(=CNc1ccc(S(=O)(=O)c2ccc(/N=C/C(C(=O)OCC)=C(\O)OCC)cc2)cc1)C(=O)OCC,CHEMBL378342,IC50,nM,32000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,32.0
O=C(Sc1nnc(C(F)(F)F)[nH]1)c1ccc(C#Cc2ccccc2)o1,CHEMBL379642,IC50,nM,3000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,3.0
Cc1noc(NC(=O)c2ccc(-c3cc(C(F)(F)F)nn3C)s2)c1[N+](=O)[O-],CHEMBL427404,IC50,nM,5000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,5.0
Cc1oc(C(C)(C)C)cc1-c1cc(NS(=O)(=O)c2cccs2)[nH]n1,CHEMBL212190,IC50,nM,10000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,10.0
CSc1[nH]nc(NC(=O)c2cccs2)c1S(=O)(=O)c1ccccc1,CHEMBL378700,IC50,nM,15000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,15.0
CC1(C)CC(=O)c2c(NCc3ccco3)sc(C#N)c2C1,CHEMBL212019,IC50,nM,16000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,16.0
CSc1nn(-c2c([N+](=O)[O-])c(C)nn2C)c(-c2cccs2)c1C#N,CHEMBL212399,IC50,nM,18000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,18.0
O=S(=O)(Cc1[nH]c(-c2ccc(Cl)s2)c[s+]1)c1cccs1.[Br-],CHEMBL215733,IC50,nM,18000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,18.0
Cc1nn(C)c(NCc2ccc(-c3cccs3)s2)c1[N+](=O)[O-],CHEMBL375130,IC50,nM,20000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,20.0
O=C(Cc1nccs1)c1nccs1,CHEMBL214372,IC50,nM,40000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,40.0
Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl,CHEMBL212218,IC50,nM,300.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,0.3
O=C(Oc1cncc(Cl)c1)c1ccco1,CHEMBL222840,IC50,nM,60.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,nM,60.0
O=C(Oc1cncc(Cl)c1)c1ccc(-c2ccc(Cl)cc2)o1,CHEMBL222769,IC50,nM,63.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,nM,63.0
COc1cccc(C(=O)Oc2cncc(Cl)c2)c1,CHEMBL222735,IC50,nM,340.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,nM,340.0
O=C(Oc1cncc(Cl)c1)c1cscn1,CHEMBL222628,IC50,nM,270.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,nM,270.0
O=C(Oc1cncc(Cl)c1)c1cc2ccccc2s1,CHEMBL222893,IC50,nM,95.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,nM,95.0
O=C(Oc1cncc(Cl)c1)c1cc2ccccc2[nH]1,CHEMBL225515,IC50,nM,65.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,nM,65.0
